辯中邊論卷上	(Madhyāntavibhāga-bhāṣya), first scroll
頌曰：   於覺分度地，   有別障應知。	The verse reads as follows: There are specific obstacles that should be understood with respect to the factors of awakening, the perfections, and the grounds.
論曰：復於覺分波羅蜜多諸地功德，各有別障。	Commentary: Again, with respect to the the factors of awakening, the perfections, and the qualities of the various grounds, each have their respective specific obstacles.
於菩提分有別障者，頌曰：   於事不善巧，   懈怠、定減二，   不植羸劣性，   見麁重過失。	With respect to the specific obstacles of the factors of awakening, the verse reads as follows: (1) Lack of skill with respect to objects of meditation, (2) laziness, (3) the two deficiencies in meditation, (4) not planting, (5) weakness, and the faults of (6) false view and (7) debilitations.
論曰：於四念住有於諸事不善巧障。	Commentary: The obstacle of being unskillful in regard to specific objects of meditation is seen in the four bases of mindfulness.
於四正斷有懈怠障。	The obstacle of laziness impedes the four types of correct elimination.
於四神足有三摩地減二事障，一於圓滿欲勤心觀隨減一故、二於修習八斷行中隨減一故。	The obstacle of the two deficiencies in samādhi exist in relation to the four supernormal powers. The first is due to deficiencies in the completion [of meditation]: by way of either will, effort, mind, or contemplation. The second is due to deficiencies in Chapter Two practice: by way of being deficient in at least one of the eight practices of severance.
於五根有不植圓滿順解脫分勝善根障。	The obstacle to the development of the superior virtuous roots lies in the lack of planting perfected factors that are conducive to liberation, such as the five spiritual faculties.
於五力有羸劣性障，謂即五根由障所雜有羸劣性。	The obstacle of weakness impedes five powers, referring to the five spiritual faculties beset with weakness as a result of interference by obstacles.
於七等覺支有見過失障，此是見道所顯示故。	The obstacle of errors in view impedes the seven factors of awakening. These are revealed during the path of seeing.
於八聖道支有麁重過失障，此是修道所顯示故。	The obstacle of debilitating faults impedes the branches of the Eightfold Noble Path. These are revealed during the path of cultivation.
於到彼岸有別障者，頌曰：   障富貴、善趣、   不捨諸有情、   於失德減增、   令趣入、解脫，   障施等諸善、   無盡亦無間、   所作善決定、   受用法成熟。	Concerning the specific obstacles to reaching the other shore (the perfections), the verses read as follows: Obstacles to (1) being wealthy, (2) birth in a favorable existence, (3) not abandoning sentient beings, (3) the decrease of faults and the increase of merits, (4) introducing beings to the Dharma and (5) liberation, obstacles to the (6) virtues of generosity etc., the (7) inexhaustible and (8) uninterrupted, (9) the skillful determination that is made, and (10) the maturation of the Dharma to be enjoyed. Commentary:
論曰：此說十種波羅蜜多所得果障，以顯十種波羅蜜多自性之障。	Here I explain the obstacles that impede the results attained via the ten perfections, to show the obstacles as they pertain to the inherent qualities of the ten perfections.
謂於布施波羅蜜多說富貴自在障；	The obstacle to mastery (i.e., having financial means) is explained as an impediment to the perfection of giving.
於淨戒波羅蜜多說善趣障；	The obstacle to being reborn in a favorable existence is explained as an impediment to the perfection of morality.
於安忍波羅蜜多說不捨有情障；	The obstacle to not abandoning sentient beings is explained as an impediment to the perfection of patience.
於精進波羅蜜多說減過失增功德障；	The obstacle to the reduction of error and increase of merit is explained as an impediment to the perfection of effort.
於靜慮波羅蜜多說令所化趣入法障；	The obstacle to introducing the Dharma to those beings to be taught is explained as an impediment to the perfection of meditation.
於般若波羅蜜多說解脫障；	The obstacle to liberation is explained as an impediment to the perfection of wisdom.
於方便善巧波羅蜜多說施等善無窮盡障，由此迴向無上菩提，令施等善無窮盡故；	The obstacle to being inexhaustible with respect to the virtues of generosity and so forth is explained as an impediment to the perfection of skill in means. It is due to turning from here toward unexcelled awakening that the virtues of generosity and so forth are made inexhaustible.
於願波羅蜜多說一切生中善無間轉障，由大願力攝受能順善法生故；	The obstacle to uninterrupted transmission of virtue through all rebirths is explained as an impediment to the perfection of vows. Wholesome phenomena arise through receiving and being accordant with the power of great vows.
於力波羅蜜多說所作善得決定障，由思擇力及修習力能伏彼障，非彼伏故；	The obstacle to the firm attainment of produced virtues is explained as an impediment to the perfection of power. The powers of discernment and practice can subdue that obstacle, rather than one being subdued by it.
於智波羅蜜多說自他受用法成熟障，不如聞言而覺義故。	The obstacle to the maturation of Dharma, enjoyed by both oneself and others, is explained as an impediment to the perfection of gnosis. Realization of meaning is unlike the words one has heard.
於地功德有別障者，頌曰：   遍行與最勝，   勝流及無攝，   相續無差別，   無雜染清淨，   種種法無別，   及不增不減，   并無分別等，   四自在依義。	There are specific obstacles with respect to the qualities of each of the grounds. The verses read as follows: (1) Omnipresence, (2) supremacy, (3) superior flow of continuity, (4) nongrasping, (5) uninterrupted continuity, (6) absence of both defilements and purity, (7) absence of distinction among various phenomena, (8) neither increasing nor decreasing, (9) the four masteries of nondiscrimination, etc., (10) the truth of the basis.
於斯十法界，   有不染無明，   障十地功德，   故說為十障。	Among these ten experiential realms there exists undefiled ignorance. There are obstacles to the qualities of the ten grounds, hence ten obstacles are explained. Commentary:
論曰：於遍行等十法界中有不染無知障，十地功德如次建立為十地障。	With respect to “omnipresence,” etc., the ten experiential realms are impeded by the obstacle of undefiled ignorance. The obstacles to the ten grounds (bhūmis) are set forth according to the qualities of the ten grounds.
謂初地中所證法界名遍行義，由通達此，證得自他平等法性。	The experiential realm realized on the first ground is called the principle of omnipresence. Having reached here, one realizes the dharma-nature in which self and other are equal.
第二地中所證法界名最勝義，由通達此，作是思惟：是故我今於同出離一切行相應遍修治，是為勤修相應出離。	The experiential realm realized on the second ground is called the principle of the supreme. Having reached here, one thinks, “Now having thus achieved the [aforementioned] liberation of sameness [of self and other], purifying practices should be carried out in every way.” This is diligence concomitant with liberation.
第三地中所證法界名勝流義，由通達此，知所聞法是淨法界最勝等流，為求此法，設有火坑量等三千大千世界，投身而取不以為難。	The experiential realm realized on the third ground is called the principle of the superior flow of continuity. Having reached here, one knows that the Dharma that has been heard is of a pure experiential realm, flowing from that which is supreme and so forth. In seeking this Dharma, one would not consider it difficult to try to grasp hold of it even if one were cast into a flaming pit as vast as trichiliocosm.
第四地中所證法界名無攝義，由通達此，乃至法愛亦皆轉滅。	Chapter Two The experiential realm realized on the fourth ground is called the principle of nongrasping. Having reached here, even love for the Dharma is completely extinguished.
第五地中所證法界名為相續無差別義，由通達此，得十意樂平等淨心。	The experiential realm realized on the fifth ground is called the principle of uninterrupted continuity. Having reached here, one attains the pure mind in which there is equality of the ten aspirations.
第六地中所證法界名無雜染無清淨義，由通達此，知緣起法無染無淨。	The experiential realm realized on the sixth ground is called the principle of the absence of both defilements and purity. Having reached here, one understands that the dharma of dependent origination is neither defiled nor pure.
第七地中所證法界名種種法無差別義，由通達此，知法無相，不行契經等種種法相中。	The experiential realm realized on the seventh ground is called the principle of the absence of distinction among various phenomena. Having reached here, one understands that phenomena are without characteristics, without traversing through the various dharma characteristics in the scriptures, etc.
第八地中所證法界名不增不減義，由通達此，圓滿證得無生法忍，於諸清淨雜染法中不見一法有增有減。	The experiential realm realized on the eighth ground is called the principle of neither increasing nor decreasing. Having reached here, one perfectly realizes the tolerance based on the nonproduction of phenomena. Not a single phenomenon is perceived to increase or decrease among pure and defiled phenomena.
有四自在：一無分別自在、二淨土自在、三智自在、四業自在。	There are four kinds of mastery: (1) mastery of nondiscrimination, (2) mastery of purifying the realm, (3) mastery of cognition, (4) mastery of karma.
法界為此四種所依，名四自在所依止義。	The experiential realm is the support for these four types, meaning it is the principle of support for these four kinds of mastery.
第八地中唯能通達初二自在所依止義。	On the eighth ground, one attains the first two kinds of mastery, which serve as bases.
第九地中亦能通達智自在所依義，圓滿證得無礙解故。	On the ninth ground, one also attains the base of the mastery of cognition. One completely realizes unobstructed cognition.
第十地中復能通達業自在所依義，隨欲化作種種利樂有情事故。	On the tenth ground, one can furthermore attain the base of the mastery of karma. One manifests various benefits and joys for sentient beings as one wishes.
復略頌曰：   已說諸煩惱，   及諸所知障，   許此二盡故，   一切障解脫。	The summary verse reads as follows: Having explained the afflictive and cognitive obstacles, consider the extinguishing of these two as liberation from all obstacles.
論曰：由此二種攝一切障故，許此盡時一切障解脫。	Commentary: Since these two categories include all obstacles, it is held that liberation from all obstacles is attained when these are extinguished.
前障總義有十一種：一廣大障，謂具分障。 二狹小障，謂一分障。 三加行障，謂增盛障。 四至得障，謂平等障。 五殊勝障，謂取捨生死障。 六正加行障，謂九煩惱障。 七因障，謂於善等十能作障。 八入真實障，謂覺分障。 九無上淨障，謂到彼岸障。 十此差別趣障，謂十地障。	The general meaning of the earlier obstacles encompasses eleven types: (1) major obstacles, which refer to whole obstacles; (2) minor obstacles, which refer to partial obstacles; (3) obstacles to application, which refer excessive obstacles; (4) obstacles to attainment, which refer to normal obstacles; (5) obstacles to extraordinary attainments, which refer to obstacles related to grasping and rejecting samsara; (6) obstacles to proper application, which refer to the nine obstacles related to afflictions (i.e., the nine fetters); (7) obstacles to the causes, which refer to obstacles related to the ten activations of virtue and so forth; (8) obstacles to penetrating reality, which refer to obstacles to the factors of awakening; (9) obstacles to unsurpassed purity, which refer to obstacles to reaching the other shore; (10) obstacles to distinctions in paths, which refer to obstacles to the ten [bodhisattva] grounds; (11) the complete array of obstacles are summarized into the two obstacles.
十一攝障，謂略二障。 辯中邊論卷上辯中邊論卷中世親菩薩造大唐三藏法師玄奘奉　詔譯辯真實品第三已辯其障，當說真實。	End of Part I of the Madhyāntavibhāga-bhāṣya Part II Chapter Three Discussion of Reality Having discussed the obstacles, I will explain reality.
頌曰：   真實唯有十，   謂根本與相、   無顛倒、因果，   及麁細真實、   極成、淨所行、   攝受并差別，   十善巧真實，   皆為除我見。	The verses read as follows: Reality consists of only ten [types]: the realities that are (1) fundamental, (2) characteristic, (3) undistorted, (4) according to cause and effect, (5) coarse and subtle, (6) the logically accepted, (7) the sphere of purity, (8) inclusive, (9) differentiated, and (10) discerned through the ten skills, all of which remove views of self. Commentary:
論曰：應知真實唯有十種，一根本真實、二相真實、三無顛倒真實、四因果真實、五麁細真實、六極成真實、七淨所行真實、八攝受真實、九差別真實、十善巧真實。	It should be understood that there are only ten types of reality: (1) fundamental reality, (2) the reality of characteristic, (3) undistorted reality, (4) the reality of cause and effect, (5) coarse and subtle reality, (6) the reality of that which is accepted (axioms), (7) the reality of the purified sphere, (8) the inclusive reality, (9) the differentiated reality, (10) the reality of skills.
此復十種，為欲除遣十我見故。	This [the reality of skills] encompasses a further ten types, [all of which reflect] the intention to remove the ten types of self-view. The ten skills [for approaching reality] are (1) skillful [contemplation of reality through] the aggregates, (2) skillful [contemplation of reality through] the perceptual bases.
十善巧者，一蘊善巧、二界善巧、三處善巧、四緣起善巧、五處非處善巧、六根善巧、七世善巧、八諦善巧、九乘善巧、十有為無為法善巧。	(3) skillful [contemplation of reality through] the sense bases, (4) skillful [contemplation of reality through] dependent origination, (5) skillful [contemplation of reality through] the appropriate and inappropriate, (6) skillful [contemplation of reality through] the faculties, (7) skillful [contemplation of reality through] time, (8) skillful [contemplation of reality through] the truths, (9) skillful [contemplation of reality] in relation to the vehicles, (10) skillful [contemplation of reality through] conditioned and unconditioned phenomena.
此中云何根本真實？	Herein, what is the fundamental reality?
謂三自性，一遍計所執自性、二依他起自性、三圓成實自性，依此建立餘真實故。	It refers to the three natures: (1) the nature of the conceptualized, (2) the nature of the other-dependent, (3) the nature of the perfectly accomplished. The other realities are established based on these.
於此所說三自性中，許何義為真實？	What is considered to be the meaning of reality here in relation to the stated three natures?
頌曰：   許於三自性，   唯一常非有，   一有而不真，   一有無真實。	The verse reads as follows: Considered as the reality of the three natures: solely, one is always nonexistent, one is existent but is unreal, and one is existent and nonexistent.
論曰：即於如是三自性中：遍計所執相常非有。	Commentary: In this manner, among the three natures, the characteristic of the conceptualized is permanently nonexistent.
唯常非有，於此性中許為真實，無顛倒故。	Being permanently nonexistent, this nature is considered real because of the absence of cognitive distortion.
依他起相有而不真。	The characteristic of other-dependency exists but is unreal.
唯有非真，於依他起許為真實，有亂性故。	Only existing but unreal, the other-dependent is considered real because of confusion.
圓成實相亦有非有。	The characteristic of the perfectly accomplished is both existent and nonexistent.
唯有非有，於此性中許為真實，有空性故。	Only existent and nonexistent, this nature is considered a reality because of emptiness.
云何相真實？	What is the reality of characteristics? The verses read as follows:
頌曰：   於法數取趣，   及所取能取，   有非有性中，   增益損減見；	Reifying and negating views regarding phenomena and the transmigrating person, the grasped and the grasper, and existence and nonexistence are discontinued having understood this.
知此故不轉，   是名真實相。	This is called the reality of characteristics. Commentary:
論曰：於一切法補特伽羅所有增益及損減見，若知此故彼便不轉，是遍計所執自性真實相。	If all reifying and negating views of all phenomena and persons are understood in this way, then they will be discontinued. This is the characteristic of reality of the conceptualized nature.
於諸所取能取法中所有增益及損減見，若知此故彼便不轉，是名依他起自性真實相。	If all reifying and negating views of grasped and grasper are understood in this way, their activities will be discontinued. This is the characteristic of reality of the otherdependent nature.
於有非有所有增益及損減見，若知此故彼便不轉，是名圓成實自性真實相。	If all reifying and negating views of existence and nonexistence are understood in this way, they will be discontinued. This is the characteristic of reality of the perfectly accomplished nature.
此於根本真實相中無顛倒故，名相真實。	Since there is no cognitive distortion within the characteristics of fundamental reality, it is called the reality of characteristics.
無顛倒真實者，謂無常、苦、空、無我性，由此治彼常等四倒。	The reality of the absence of cognitive distortions refers to impermanence, suffering, emptiness, and not-self. Through these one corrects the four cognitive distortions, such as those related to permanence and so forth.
云何應知此無常等依彼根本真實立耶？	How should one understand that impermanence and so forth are established based upon the fundamental reality?
頌曰：   無性與生滅、   垢淨三無常；	The verses read as follows: Chapter Three Nonexistence, arising-ceasing, and defilement-purity constitute three types of (1) impermanence.
所取及事相、   和合苦三種；	The grasped, characteristics of things, and union constitute three types of (2) suffering.
空亦有三種，   謂無、異、自性；	(3) Emptiness also includes three types: nonexistence, variant, and intrinsic natures.
無相及異相、   自相三無我。	Absence of characteristics, variant characteristic, and intrinsic characteristic are the three types of (4) not-self.
如次四三種，   依根本真實。	[These] four each [encompass] three types on the basis of fundamental reality. Commentary:
論曰：無常三者，一無性無常，謂遍計所執，此常無故； 二生滅無常，謂依他起，有起盡故； 三垢淨無常，謂圓成實，位轉變故。	(1) The three types of impermanence are (1) Impermanence due to nonexistence, which refers to the conceptualized nature, since this is always nonexistent; (2) impermanence of arising and ceasing, which refers to the other-dependent nature, since there is origination and cessation; (3) the impermanence of defilement and purity, which refers to the perfectly accomplished nature, since the status of things is changeable.
苦三種者，一所取苦，謂遍計所執，是補特伽羅法執所取故； 二事相苦，謂依他起，三苦相故； 三和合苦，謂圓成實，苦相合故。	(2) The three types of suffering are (1) suffering due to the grasped, which refers to the conceptualized nature, since personhood and phenomena are grasped; (2) suffering due to the characteristics of things, which refers to the other-dependent nature, because of the three characteristics of suffering; (3) suffering due to union, which refers to the perfectly accomplished nature, because of being bound up with suffering.
空有三者，一無性空，謂遍計所執，此無理趣可說為有，由此非有說為空故；	(3) The three types of emptiness are (1) emptiness due to nonexistence, which refers to the conceptualized nature. There is no line of reasoning by which it can be said to be existence.
二異性空，謂依他起，如妄所執不如是有，非一切種性全無故； 三自性空，謂圓成實，二空所顯為自性故。	From this its nonexistence is said to be emptiness; (2) emptiness related to variant nature, which refers to the otherdependent nature, since what is grasped in delusion does not exist in such a manner, yet is not entirely bereft of qualities; (3) emptiness related to intrinsic nature, which refers to the perfectly accomplished, since its intrinsic nature is that which is revealed by the emptiness of the two.
無我三者，一無相無我，謂遍計所執，此相本無故名無相，即此無相說為無我；	(4) The three types of not-self are (1) not-self [stemming from] no characteristics, which refers to the conceptualized nature. Since these characteristics are fundamentally nonexistent, it is therefore said to be without characteristics.
二異相無我，謂依他起，此相雖有而不如彼遍計所執故名異相，即此異相說為無我；	This absence of characteristics is said to be not-self; (2) not-self related to possessing variant characteristics, which refers to the other-dependent nature. Although there are these characteristics, they are unlike what is conceptualized, hence the name variant characteristics.
三自相無我，謂圓實成，無我所顯以為自相，即此自相說為無我。	These variant characteristics are called not-self; (3) not-self as intrinsic characteristic, which refers to the perfectly accomplished nature. What is expressed by not-self is to be considered the intrinsic characteristic. This intrinsic characteristic is said to be not-self.
如是所說無常、苦、空、無我四種，如其次第依根本真實各分為三種，四各三種如前應知。	The four matters of impermanence, suffering, emptiness, and not-self are as explained in this manner. Each are divided into three types in their respective order based on fundamental reality. Each of the three types of the four should be understood as above.
因果真實謂四聖諦，云何此依根本真實？	The reality of cause and effect refers to the Four Noble Truths. How is this based on fundamental reality?
頌曰：   苦三相已說，   集亦有三種，   謂習氣、等起，   及相未離繫。	The verses read as follows: The three characteristics of suffering having been explained, the noble truth of arising also includes three types: (1) habituated energies, (2) manifestation, and (3) conjunction. The noble truth of cessation includes:
自性、二不生、   垢寂二三滅。	(1) intrinsic nature, (2) the two forms of grasping not having arisen, and (3) two eliminations of defilement.
遍知及永斷、   證得三道諦。	The noble truth of the path includes (1) full comprehension, (2) permanent severance, and (3) realization.
論曰：苦諦有三，謂無常等四各三相，如前已說。	Commentary: The noble truth of suffering includes three types, which refer to the four items (impermanence and so forth), each divided into three characteristics as explained above.
集諦三者，一習氣集，謂遍計所執自性執習氣； 二等起集，謂業煩惱；	The noble truth of arising is threefold: (1) the arising of habituated energies, which refers to the habit energies of attachment to the conceptualized nature; (2) the arising of manifestation, which refers to [the co-arising of] karma and afflictions; (3) the arising of conjunction, which refers to conjunction obstructing thusness.
三未離繫集，謂未離障真如。 滅諦三者，一、自性滅，謂自性不生故；	The noble truth of cessation is threefold:
二、二取滅，謂所取能取二不生故； 三、本性滅，謂垢寂二，即擇滅及真如。	(1) cessation related to intrinsic nature, which is intrinsic nature being unproduced [in the conceptualized nature]; (2) cessation related to the two forms of grasping, which is due to the grasped and the grasper both being unproduced [in the other-dependent nature]; (3) cessation related to original nature, which refers to the two eliminations of taints [in the perfectly accomplished nature], being cessation through analysis and thusness.
道諦三者，一遍知道、二永斷道、三證得道。	The noble truth of the path is threefold: (1) the path as full comprehension, (2) the path as the permanent severance [of afflictions], (3) the path as realization.
應知此中於遍計所執唯有遍知，於依他起有遍知及永斷，於圓成實有遍知及證得，故依此三建立道諦。	One should understand that herein full comprehension is related to the Chapter Three conceptualized; full comprehension and permanent severance are related to the other-dependent; and the perfectly accomplished is related to full comprehension and realization. Thus, the noble truth of the path is established based on these three.
麁細真實，謂世俗勝義諦。	The realities of coarse and subtle refer to the conventional and ultimate truths.
云何此依根本真實？	How is this based on the fundamental reality?
頌曰：   應知世俗諦，   差別有三種，   謂假、行、顯了，   如次依本三。	The verses read as follows: One should understand conventional truth, which is differentiated into three types: (1) nominal, (2) transient, and (3) disclosed, relying on the three fundamental realities in order.
勝義諦亦三，   謂義、得、正行，   依本一無變，   無倒二圓實。	Ultimate truth is also threefold: (1) object, (2) attainment, and (3) correct practice. The two aspects, unchanging based upon fundamental reality and being free from cognitive distortion, are the perfectly accomplished. Commentary:
論曰：世俗諦有三種，一假世俗、二行世俗、三顯了世俗。	Conventional truth includes three types: (1) nominal conventional truth, (2) transient conventional truth, (3) disclosed conventional truth.
此三世俗如其次第，依三根本真實建立。 勝義諦亦三種，一義勝義，謂真如勝智之境名勝義故；	These three conventional truths are established according to their order based on the three fundamental realities. Ultimate truth is also of three types: (1) the ultimate truth of an object.
二得勝義，謂涅槃，此是勝果亦義利故；	The object of supreme wisdom of thusness is called ultimate truth; (2) the ultimate truth of attainment, which refers to nirvana.
三正行勝義，謂聖道，以勝法為義故。	This supreme fruit is also a benefit; (3) the ultimate truth of correct practice, which refers to the noble path. Its purport is the supreme Dharma.
此三勝義，應知但依三根本中圓成實立。	These three ultimate truths should be understood as solely established based on the perfectly accomplished nature (included as one of the three fundamental realities).
此圓成實總有二種，無為、有為有差別故。	This, the perfectly accomplished, generally encompasses two types: the unconditioned and the conditioned, since there are differences.
無為總攝真如涅槃，無變異故，名圓成實。	The unconditioned generally encompasses thusness and nirvana. The perfectly accomplished is so called because it does not change.
有為總攝一切聖道，於境無倒故，亦名圓成實。 極成真實略有二種，一者世間極成真實、二者道理極成真實。	The conditioned generally subsumes all noble paths. The perfectly accomplished is also so called because of the absence of cognitive distortion with respect to its objects. Accepted reality is briefly twofold: (1) conventionally accepted reality, (2) reality accepted according to reason.
云何此二依彼根本真實立耶？	How are these two explained based on the fundamental realities?
頌曰：   世極成依一，   理極成依三。	The verse reads as follows: The conventionally accepted depends upon one. That which is accepted by reason depends upon three. Commentary: Things that are commonly established according to convention are grasped by the intellect through habituation.
論曰：若事世間共所安立，串習隨入覺慧所取，一切世間同執此事是地非火、色非聲等，是名世間極成真實。 此於根本三真實中，但依遍計所執而立。	The whole mundane world grasps these phenomena: “This is earth, and not fire. This is form, and not sound,” and so forth. This is called the conventionally accepted reality.
若有理義聰叡賢善能尋思者，依止三量證成道理施設建立，是名道理極成真實。	This one is solely established based on the conceptualized (one of the three fundamental realities). One who is skillful and learned in logic establishes [proofs] via reasoned argumentation based on the three means of valid cognition. This is called [knowledge of] reality accepted by reason.
此依根本三真實立。	This is established based on the three fundamental realities.
淨所行真實亦略有二種，一煩惱障淨智所行真實、二所知障淨智所行真實。	The reality of the purified sphere also briefly includes two types: (1) the reality of the sphere of cognition purified of afflictive obstacles, (2) the reality of the sphere of cognition purified of cognitive obstacles.
云何此二依彼根本真實而立？	How are these two established based on fundamental reality?
頌曰：   淨所行有二，   依一圓成實。	The verse reads as follows: The purified sphere includes two, dependent upon one; namely, the perfectly accomplished. Commentary:
論曰：煩惱、所知二障，淨智所行真實，唯依根本三真實中圓成實立，餘二非此淨智境故。	The reality of the sphere of cognition purified of the two obstacles (afflictive and cognitive) is established solely on the perfectly accomplished (one of the three fundamental realities), since the other two are not objects of this pure cognition.
云何應知相名分別真如正智攝在根本三真實耶？	How should we know that characteristics, names, discrimination, thusness, and accurate cognition are included among the three fundamental realities? The verse reads as follows:
頌曰：   名遍計所執，   相分別依他，   真如及正智，   圓成實所攝。	Names depend upon the conceptualized. Characteristics and discrimination are other-dependent. Thusness and accurate cognition are included in the perfectly accomplished. Commentary:
論曰：相等五事，隨其所應，攝在根本三種真實，謂名攝在遍計所執相，及分別攝在依他，圓成實攝真如正智。 差別真實略有七種：一流轉真實、二實相真實、三唯識真實、四安立真實、五邪行真實、六清淨真實、七正行真實。	The five factors of characteristics and so forth, according to the situation, are included in the three types of fundamental reality: (1) names are included in the conceptualized, (2) characteristics and (3) discrimination are included in the other-dependent. The perfectly accomplished includes (4) thusness and (5) accurate cognition. The reality of differentiation briefly includes seven types: (1) continuing reality, (2) accurately characterized reality, (3) the reality of consciousness Chapter Three only, (4) posited reality, (5) the reality of wrong practices, (6) pure reality, (7) the reality of correct practices.
云何應知此七真實依三根本真實立耶？	How should one understand that these seven realities are established based on the three fundamental realities?
頌曰：   流轉與安立，   邪行依初二，   實相唯識淨，   正行依後一。	The verse reads as follows: Continuity, positing, and wrong practices depend upon the first two. The accurately characterized, consciousness only, purity, and correct practices depend upon the latter one. Commentary:
論曰：流轉等七，隨其所應，攝在根本三種真實，謂彼流轉安立邪行依根本中遍計所執及依他起，實相唯識清淨正行依根本中圓成實立。	The seven items of continuity and so forth, according to the situation, are included in the three types of fundamental reality: continuity, positing, and wrong practice depend on the conceptualized and other-dependent [fundamental realities]. The accurately characterized, consciousness only, purity, and correct practice depend upon the perfectly accomplished [fundamental reality].
善巧真實，謂為對治十我見故，說有十種。	The reality of skills serves as an antidote to the ten types of self-view, hence ten are explained.
云何於蘊等起十我見耶？	What are the ten types of self-view that arise in relation to the aggregates, etc.?
頌曰：   於蘊等我見，   執、一、因、受者、   作者、自在轉、   增上義及常、   雜染清淨依、   觀、縛解者性。 論曰：於蘊等十法起十種我見，一執、一性、二執因性、三執受者性、四執作者性、五執自在轉性、六執增上義性、七執常性、八執染淨所依性、九執觀行者性、十執縛解者性。	The verse reads as follows: Self-view in relation to the aggregates, etc.[refers to] grasping onto qualities of (1) oneness, (2) a cause, (3) an experiencer, (4) agency, (5) independence, (6) personal sovereignty, (7) permanence, (8) a basis of defilement and purity, (9) contemplation, and (10) bondage and release. Commentary: Ten phenomena in relation to the aggregates, etc. give rise to the ten types of self-view: (1) grasping to oneness, (2) grasping to causality, (3) grasping to being an experiencer, (4) grasping to agency, (5) grasping to a sense of independence, (6) grasping to a sense of personal sovereignty, (7) grasping to a feeling of permanence, (8) grasping to the quality of the basis for defilement and purity, (9) grasping to being a practitioner of meditation (yogi), (10) grasping to the sense of bondage and release.
為除此見，修十善巧。	The ten skills are cultivated in order to remove these views.
云何十種善巧真實依三根本真實建立？	How is the reality of the ten types of skills established based on the three fundamental realities?
以蘊等十無不攝在三種根本自性中故。	The ten matters in relation to the aggregates, etc. are all included among the intrinsic natures of the three types of fundamental realities.
如何攝在三自性中？	How are they included among the three intrinsic natures?
頌曰：   此所執分別，   法性義在彼。	The verse reads as follows: Here the grasped and discriminated; the object of dharma-nature resides there.
論曰：此蘊等十各有三義。 且色蘊中有三義者，一所執義色，謂色之遍計所執性；	Commentary: These ten phenomena in relation to the aggregates, etc. each include three objects.
二分別義色，謂色之依他起性，此中分別以為色故； 三法性義色，謂色之圓成實性。	Three objects are included in the aggregate of form: (1) form as the object of grasping, which refers to the conceptualized nature of form; (2) form as a discriminated object, which refers to the otherdependent nature of form, since form is here conceived by discrimination; (3) form as an object related to dharma-nature, which refers to the perfectly accomplished nature of form.
如色蘊中有此三義，受等四蘊、界等九法各有三義，隨應當知。	The aggregates have these three objects in the same manner as form. The four other aggregates of feeling, etc., and the nine phenomena of the spheres, etc. each have three objects, which should be understood accordingly.
如是蘊等由三義別，無不攝入彼三性中，是故當知十善巧真實皆依根本三真實而立。	These aggregates, etc. are differentiated via the three stated objects, and all of them are encompassed within the three natures. For this reason, one should understand that the realities of the ten skills are all established based on the three fundamental realities.
如是雖說為欲對治十種我見故修蘊等善巧，而未說此蘊等別義。	Although it is explained in this way that the skills with the aggregates, etc. are practiced in order to correct the ten types of selfview, we have yet to explain the specific meaning of these aggregates.
且初蘊義云何應知？	First, what is the meaning of “aggregate”?
頌曰：   非一及總略、   分段義名蘊。	The verse reads as follows: The meanings of multiple, compounded, and separated are included in the term “aggregate.” Commentary:
論曰：應知蘊義，略有三種：一、非一義，如契經言：諸所有色等，若過去若未來若現在、若內若外、若麁若細、若劣若勝、若遠若近。	One should understand that the meaning of the term aggregate generally includes three senses: (1) the meaning of being nonsingular (i.e., multiple). As the sutras state, “All forms, etc., whether they are past, future, present, inner, outer, coarse, subtle, inferior, superior, distant, or near”; (2) the meaning of being compounded.
二、總略義，如契經言：如是一切略為一聚。	As the sutras state, “Like this they are all compounded into one cluster”; (3) the meaning of being separated.
三、分段義，如契經言：說名色蘊等，各別安立色等相故，由斯聚義蘊義得成。	As a sutra states, “It is explained that form and the other aggregates are each defined based upon their characteristics.” The meaning of aggregate is obtained from this meaning of cluster.
又見世間聚義名蘊。	Furthermore, in conventional discourse, a “cluster” is called an “aggregate” (i.e., bundle or collection).
已說蘊義，界義云何？	Having explained the meaning of aggregate, what is the meaning of “element”?
頌曰：   能所取、彼取，   種子義名界。	The verse reads as follows: Chapter Three Grasping, the grasped, and that grasped; the meaning of the seed is expressed as “element.” Commentary:
論曰：能取種子義，謂眼等六內界。	The meaning of grasping seeds refers to the six inner elements of the eye [and other faculties].
所取種子義，謂色等六外界。	The meaning of the grasped seed refers to the six external elements of form, etc.
彼取種子義，謂眼識等六識界。	The meaning of the “that grasped seed” refers to the six elements of consciousness related to the eye consciousness, etc.
已說界義，處義云何？	Having explained the meaning of the elements, what is the meaning of sense bases?
頌曰：   能受、所了境，   用門義名處。	The verse reads as follows: The capacity for experience and the cognized objects, “base” means entryway to experience.
論曰：此中能受受用門義，謂六內處。	Commentary: Herein “experience”: the entryway to experiencing, which refers to the six internal sense bases.
若所了境受用門義，是六外處。	Cognized objects as an entryway to experience refers to the six external sense bases.
已說處義，緣起義云何？	Having explained the meaning of the sense bases, what is the meaning of dependent origination?
頌曰：   緣起義於因、   果、用無增減。	The verse reads as follows: The meaning of dependent origination is to neither reify nor negate cause, effect, and activity. Commentary:
