善法經	The Discourse on Wholesome Qualities
如王邊城集四種軍力，象軍、馬軍、車軍、步軍，為內安隱，制外怨敵。如是，聖弟子常行精進，斷惡不善，修諸善法，恒自起意，專一堅固，為諸善本，不捨方便，是謂聖弟子得精進軍力，除惡不善，修諸善法也。	Just as an army with four divisions is raised in the king’s border town, with elephant troops, cavalry, chariot troops, and infantry, to ensure peace within and to control outside enemies; in the same way, the noble disciple continuously applies effort, abandoning what is evil and unwholesome and cultivating wholesome states. He constantly arouses his mind, is single-minded and steadfast regarding the roots of wholesomeness, without giving up his task. This is how the noble disciple gains the army of effort, which removes what is evil and unwholesome and develops wholesome states.
如王邊城豫備軍器弓、矢、鉾、戟，為內安隱，制外怨敵。 如是，聖弟子廣學多聞，守持不忘，積聚博聞，所謂法者，初善、中善、竟亦善，有義有文，具足清淨，顯現梵行。如是諸法廣學多聞，翫習至千，意所惟觀，明見深達，是謂聖弟子得多聞軍器，除惡不善，修諸善法也。	Just as weapons are provided for the troops of the king’s border town—bows and arrows, swords and spears—to ensure peace within and control outside enemies; in the same way the noble disciple studies widely and learns much, retaining and not forgetting it, accumulating broad learning of what is called the Dharma, which is good in the beginning, good in the middle, and good in the end, which has [proper] meaning and expression, is endowed with purity, and reveals the holy life; in this way he studies widely and learns much regarding all the teachings, familiarizing himself with them even a thousand times, mentally considering and contemplating them with knowledge, vision, and profound penetration. This is how the noble disciple gains the weapon of much learning, which removes what is evil and unwholesome and develops wholesome states.
如王邊城立守門大將，明略智辯，勇毅奇謀，善則聽入，不善則禁，為內安隱，制外怨敵。如是，聖弟子常行於念，成就正念，久所曾習，久所曾聞，恒憶不忘，是謂聖弟子得念守門大將，除惡不善，修諸善法也。	Just as a general is appointed as gatekeeper to the king’s border town, one who is sharp-witted and wise in making decisions, brave and resolute, of excellent counsel, who allows entry to the good and keeps out the bad, to ensure peace within and to control outside enemies; in the same way the noble disciple continuously practices mindfulness, achieves right mindfulness, always recalling and not forgetting what was done or heard long ago. This is how the noble disciple gains the gatekeeping general of mindfulness, which removes what is evil and unwholesome and develops wholesome states.
如王邊城築立高牆，令極牢固，泥塗堊灑，為內安隱，制外怨敵。如是，聖弟子修行智慧，觀興衰法，得如此智，聖慧明達，分別曉了，以正盡苦，是謂聖弟子得智慧牆，除惡不善，修諸善法也。	Just as a high rampart is constructed for the king’s border town, extremely solid, plastered with mud and painted with whitewash, to ensure peace within and to control outside enemies; in the same way the noble disciple develops comprehension and wisdom, attains understanding concerning the rise and fall of phenomena, attains noble penetrative knowledge and discriminative understanding concerning the true cessation of suffering. This is how the noble disciple gains the rampart of wisdom, which removes what is evil and unwholesome and develops wholesome states. 
如王邊城水草樵木，資有豫備，為內安隱，制外怨敵。如是，聖弟子離欲、離惡不善之法，有覺、有觀，離生喜樂，逮初禪成就遊，樂住無乏，安隱快樂，自致涅槃也。	Just as supplies of water, grass, and firewood are provided for the king’s border town to ensure peace within and control outside enemies; in the same way the noble disciple, separated from desires, separated from evil and unwholesome states, with initial and sustained application of the mind, with joy and happiness born of seclusion, dwells having attained the first absorption. He abides in a happiness that lacks nothing, a peaceful happiness that leads naturally to nirvana.
如王邊城多收稻穀及儲畜麥，為內安隱，制外怨敵。 如是，聖弟子覺、觀已息，內靜、一心，無覺、無觀，定生喜樂，逮第二禪成就遊，樂住無乏，安隱快樂，自致涅槃也。	Just as plenty of rice is harvested and plenty of wheat is stored up in the king’s border town to ensure peace within and to control outside enemies; in the same way the noble disciple, through the calming of initial and sustained application of the mind, with inward stillness and mental one-pointedness, without initial and sustained application of the mind, with joy and happiness born of concentration, dwells having attained the second absorption. He abides in a happiness that lacks nothing, a peaceful happiness that leads naturally to nirvana.
如王邊城多積秥豆及大小豆，為內安隱，制外怨敵。 如是，聖弟子離於喜欲，捨無求遊，正念正智而身覺樂，謂聖所說、聖所捨、念、樂住、空，逮第三禪成就遊，樂住無乏，安隱快樂，自致涅槃也。	Just as large amounts of grain and beans of various sorts are amassed in the king’s border town to ensure peace within and to control outside enemies; in the same way the noble disciple, separated from joy and desire, dwelling in equanimity and not seeking anything, with right mindfulness and right attentiveness, experiencing pleasure with the body, dwells having attained the third absorption, which the noble ones speak of as noble equanimity and mindfulness, a happy abode. He abides in a happiness that lacks nothing, a peaceful happiness that leads naturally to nirvana.
如王邊城畜酥油、蜜及甘蔗、餹、魚、鹽、脯肉，一切充足，為內安隱，制外怨敵。 如是，聖弟子樂滅、苦滅，喜、憂本已滅，不苦不樂、捨、念、清淨，逮第四禪成就遊，樂住無乏，安隱快樂，自致涅槃。」	Just as ghee, honey, sugarcane, sugar, fish, salt, and dried meat are stored up in the king’s border town, being equipped with all of these to ensure peace within and to control outside enemies; in the same way the noble disciple, with the cessation of pleasure and pain, and with the earlier cessation of joy and displeasure, with neither-pain-nor-pleasure, equanimity, mindfulness, and purity, dwells having attained the fourth absorption, abiding in a happiness that lacks nothing, a peaceful happiness that leads naturally to nirvana.
佛說如是。彼諸比丘聞佛所說，歡喜奉行。	This is what the Buddha said. Having heard the Buddha’s words, the monks were delighted and remembered them well. 

水喻經	The Discourse with the Water Parable
我聞如是：一時，佛遊舍衛國，在勝林給孤獨園。	Thus have I heard: At one time the Buddha was staying at Sāvatthī, in Jeta’s Grove, Anāthapiṇḍika’s Park.
爾時，世尊告諸比丘：「我當為汝說七水人。諦聽，諦聽！ 善思念之。 」時，諸比丘受教而聽。	At that time the World-honored One addressed the monks: I shall teach you about seven persons in the water. Listen closely, listen closely and pay careful attention! The monks listened to receive instruction.
佛言：「云何為七？	The Buddha said: What are the seven?
或有一人常臥水中；	Suppose there is a person who remains lying in the water [below the surface].
或復有人出水還沒；	And suppose there is another person who surfaces but then sinks again.
或復有人出水而住；	And suppose there is another person who surfaces and remains standing [in the water].
或復有人出水而住，住已而觀；	And suppose there is another person who surfaces and remains standing; and, having remained standing, observes.
或復有人出水而住，住已而觀，觀已而渡；	And suppose there is another person who surfaces and remains standing, and having remained standing, observes; and, having observed, crosses over [toward the farther bank].
或復有人出水而住，住已而觀，觀已而渡，渡已至彼岸；	And suppose there is another person who surfaces and remains standing; and, having remained standing, observes; and, having observed, crosses over; and, having crossed over, reaches the farther bank.
或復有人出水而住，住已而觀，觀已而渡，渡已至彼岸，至彼岸已，謂住岸人。	And suppose there is another person who surfaces and remains standing; and, having remained standing, observes; and, having observed, crosses over; and, having crossed over, reaches the farther bank; and, having reached the farther bank, is called a person dwelling on the [farther] bank.
如是，我當復為汝說七水喻人。諦聽，諦聽！ 善思念之。」	In the same way, I shall repeat to you the parable of seven persons in the water. Listen closely, listen closely and pay careful attention!
時，諸比丘受教而聽。	The monks listened to receive instruction.
佛言：「云何為七？	The Buddha said: What are the seven?
或有人常臥；	Suppose there is a person who remains lying [in the water].
或復有人出已還沒；	And suppose there is another person who, having surfaced, sinks again.
或復有人出已而住；	And suppose there is another who, having surfaced, remains standing.
或復有人出已而住，住已而觀；	And suppose there is another who, having surfaced, remains standing, and having remained standing, observes.
或復有人出已而住，住已而觀，觀已而渡；	And suppose there is another who, having surfaced, remains standing; and, having remained standing, observes; and, having observed, crosses over.
或復有人出已而住，住已而觀，觀已而渡，渡已至彼岸；	And suppose there is another who, having surfaced, remains standing; having remained standing, observes; having observed, crosses over; and having crossed over, reaches the farther bank.
或復有人出已而住，住已而觀，觀已而渡，渡已至彼岸，至彼岸已，謂住岸梵志。 此七水喻人，我略說也。	And suppose there is another person who, having surfaced, remains standing, having remained standing, observes; having observed, crosses over; having crossed over, reaches the farther bank; and having reached the farther bank, is called a brahmin dwelling on the [farther] bank. I have taught in brief this parable of seven people in the water.
如上所說，如上施設。 汝知何義？ 何所分別？ 有何因緣？」	As it has been set out and described above, do you know what its meaning is, how to explain it, and what its moral is?
時，諸比丘白世尊曰：「世尊為法本，世尊為法主，法由世尊，唯願說之，我等聞已，得廣知義。」	The monks said to the World-honored One: The World-honored One is the source of the Dharma, the World-honored One is the master of the Dharma, the Dharma comes from the World-honored One. May he explain it! Having heard, we will come to know its meaning fully.
佛便告曰：「汝等諦聽！善思念之。我當為汝分別其義。 」	The Buddha said: [Then] Listen closely, listen closely and pay careful attention!I shall explain its meaning to you.
時，諸比丘受教而聽。	Then the monks listened to receive instruction.
佛言：「云何有人常臥？	The Buddha said: What is [the meaning of] the person that remains lying [in the water]?
謂或有人為不善法之所覆蓋，染汙所染，受惡法報，造生死本，是謂有人常臥。	Here, a person is obstructed by unwholesome states, defiled by defilements, experiencing the consequences of evil states, which create the root cause for birth and death. This is what is meant by the person that remains lying [in the water].
猶人沒溺，臥于水中，我說彼人亦復如是，是謂初水喻人，世間諦如有也。	Like a person who, having sunk and drowned, remains lying in the water, just so, I say, is this [defiled] person. This is what is meant by the first person in the water parable. Such [people] are really to be found in the world.
云何有人出已還沒？	What is the person who, having surfaced, sinks again?
謂人既出，得信善法，持戒、布施、多聞、智慧，修習善法，彼於後時失信不固，失持戒、布施、多聞、智慧而不堅固，是謂有人出已還沒。	Here, a person has surfaced by gaining faith in the true Dharma, keeping the precepts, practicing generosity, learning much, and [developing] wisdom, [thereby] practicing the true Dharma. At a later time, [however,] he loses faith, which [then] becomes unstable, gives up keeping the precepts, practicing generosity, learning much, and [developing] wisdom—[these practices] thus become unstable. This is what is meant by the person who, having surfaced, sinks again.
猶人溺水，既出還沒，我說彼人亦復如是，是謂第二水喻人，世間諦如有也。	Like the person who, having [nearly] drowned in the water, surfaces but then sinks again—just so, I say, is this [backsliding] person. This is what is meant by the second person in the water parable. Such people are really to be found in the world.
云何有人出已而住？	What is the person who, having surfaced, remains standing? 
謂人既出，得信善法，持戒、布施、多聞、智慧，修習善法，彼於後時信固不失，持戒、布施、多聞、智慧，堅固不失，是謂有人出已而住，猶人溺水，出已而住，我說彼人亦復如是，是謂第三水喻人，世間諦如有也。	Here, a person has surfaced by gaining faith in the true Dharma, keeping the precepts, practicing generosity, learning much, and [developing] wisdom, [thereby] practicing the true Dharma. At a later time his faith [remains] firm and is not lost, and his keeping of the precepts, practice of generosity, learning much, and [developing of] wisdom [remain] stable and firm and are not lost. This is what is meant by the person who, having surfaced, remains standing. Like the person who, having [nearly] drowned in the water, surfaces and remains standing—just so, I say, is this [stable] person. This is what is meant by the third person in the water parable.Such people are really to be found in the world.
云何有人出已而住，住已而觀？	What is the person who, having surfaced, remains standing; and, having remained standing, observes?
謂人既出，得信善法，持戒、布施、多聞、智慧，修習善法，彼於後時信固不失，持戒、布施、多聞、智慧，堅固不失，住善法中，知苦如真，知苦習、知苦滅、知苦滅道如真。	Here, a person has surfaced by gaining faith in the true Dharma, keeping the precepts, and practicing generosity, learning much, and [developing] wisdom, [thereby] practicing the true Dharma. At a later time, his faith remains firm and is not lost, and his keeping of the precepts, practice of generosity, learning much, and [developing] wisdom [remain] stable and firm and are not lost. Being established in the true Dharma, he knows suffering as it really is, knows the arising of suffering, knows the cessation of suffering, and knows the path to the cessation of suffering as it really is.
彼如是知、如是見，三結便盡，謂身見、戒取、疑，三結已盡，得須陀洹，不墮惡法，定趣正覺，極受七有，天上、人間七往來已，便得苦際，是謂有人出已而住，住已而觀。	Through such knowing and seeing, three fetters are eliminated: namely, personality view, clinging to precepts, and doubt; and through the cessation of these three fetters, he attains stream-entry. He is assured of progress toward full awakening within at most seven existences, without falling into evil states. Having passed through [at most] seven existences in heavenly or human realms, he will attain the ending of suffering. This is what is meant by the person who having surfaced, remains standing, and having remained standing, observes.
猶人溺水，出已而住，住已而觀，我說彼人亦復如是，是謂第四水喻人，世間諦如有也。	Like the person who, having [nearly] drowned in the water and having surfaced remains standing, and having remained standing observes—just so, I say, is this person [who attains streamentry]. This is what is meant by the fourth person in the water parable. Such people are really to be found in the world.
云何有人出已而住，住已而觀，觀已而渡？	What is the person who, having surfaced, remains standing; having remained standing, observes; and having observed, crosses over?
謂人既出，得信善法，持戒、布施、多聞、智慧，修習善法。	Here, a person has surfaced by gaining faith in the true Dharma, keeping the precepts, practicing generosity, learning much, and [developing] wisdom, [thereby] practicing the true Dharma.
彼於後時信固不失，持戒，布施、多聞、智慧，堅固不失，住善法中，知苦如真，知苦習、知苦滅、知苦滅道如真，如是知、如是見，三結便盡，謂身見、戒取、疑，三結已盡，婬、怒、癡薄，得一往來天上、人間，一往來已，便得苦際，	At a later time, his faith [remains] firm and is not lost, his keeping of the precepts, practice of generosity, learning much, and [developing] wisdom [remain] stable and firm and are not lost. Being established in the true Dharma, he knows suffering as it really is, knows the arising of suffering, knows the cessation of suffering, knows the path to the cessation of suffering, as it really is. Through such knowing and seeing, three fetters are eliminated: namely, personality view, clinging to precepts, and doubt; and, having eliminated these three fetters, he [also] reduces sensual desire, anger, and ignorance, and attains once-returning. Having passed through one existence in a heavenly or human realm, he will attain the ending of suffering.
是謂有人出已而住，住已而觀，觀已而渡。猶人溺水，出已而住，住已而觀，觀已而渡，我說彼人亦復如是，是謂第五水喻人，世間諦如有也。	This is what is meant by the person who, having surfaced, remains standing; having remained standing, observes; and having observed, crosses over. Like the person who, having [nearly] drowned in the water and having surfaced, remains standing; having remained standing, observes; and having observed, crosses over—just so, I say, is this person [who attains once-returning]. This is what is meant by the fifth person in the water parable. Such people are really to be found in the world. 
云何有人出已而住，住已而觀，觀已而渡，渡已至彼岸？	What is the person who, having surfaced, remains standing; having remained standing, observes; having observed, crosses over; and having crossed over, reaches the farther bank?
謂人既出，得信善法，持戒、布施、多聞、智慧，修習善法，彼於後時信固不失，持戒、布施、多聞、智慧，堅固不失，住善法中，知苦如真，知苦習、知苦滅、知苦滅道如真，如是知、如是見，五下分結盡，謂貪欲、瞋恚、身見、戒取、疑，五下分結盡已，生於彼間，便般涅槃，得不退法，不還此世，	Here, a person has surfaced by gaining faith in the true Dharma, keeping the precepts, practicing generosity, learning much, and [developing] wisdom, [thereby] practicing the true Dharma. At a later time his faith [remains] firm and is not lost, his keeping of the precepts, practice of generosity, learning much, and [developing] wisdom [remain] stable and firm and are not lost. Being established in the true Dharma, he knows suffering as it really is, knows the arising of suffering, knows the cessation of suffering, knows the path to the cessation of suffering as it really is. Through such knowing and seeing, the five lower fetters are eliminated—namely, lustful desire, ill will, personality view, clinging to precepts, and doubt. With these five lower fetters eliminated, he will be born in another[, heavenly] realm and there attain final nirvana, having attained the condition of non-returning, not coming back to this world.
是謂有人出已而住，住已而觀，觀已而渡，渡已至彼岸。猶人溺水，出已而住，住已而觀，觀已而渡，渡已至彼岸，我說彼人亦復如是，是謂第六水喻人，世間諦如有也。	This is what is meant by the person who, having surfaced, remains standing; having remained standing, observes; having observed, crosses over; and having crossed over, reaches the farther bank. Like the person who, having [nearly] drowned in the water and having surfaced, remains standing; having remained standing, observes; having observed, crosses over; and having crossed over, reaches the farther bank—just so, I say, is this person [who attains nonreturning]. This is what is meant by the sixth person in the water parable.
云何有人出已而住，住已而觀，觀已而渡，渡已至彼岸，至彼岸已謂住岸梵志？	Such people are really to be found in the world. What is the person who, having surfaced, remains standing; having remained standing, observes; having observed, crosses over; having crossed over, reaches the farther bank; and having reached the farther bank, is called a brahmin dwelling on the [farther] bank?
謂人既出，得信善法，持戒、布施、多聞、智慧，修習善法，彼於後時信固不失，持戒、布施、多聞、智慧，堅固不失，住善法中，知苦如真，知苦習、知苦滅、知苦滅道如真，如是知、如是見，欲漏心解脫，有漏、無明漏心解脫，	Here, a person has surfaced by gaining faith in the true Dharma, keeping the precepts, practicing generosity, learning much, and [developing] wisdom, [thereby] practicing the true Dharma. At a later time, his faith [remains] firm and is not lost, his keeping of the precepts, practice of generosity, learning, and [developing] wisdom are stable and firm and are not lost. Being established in the true Dharma, he knows suffering as it really is, knows the arising of suffering, knows the cessation of suffering, and knows the path [leading] to the cessation of suffering as it really is. Through such knowing and seeing, he attains liberation of the mind from the taint of desire, from the taint of becoming, and from the taint of ignorance.
解脫已，便知解脫，生已盡，梵行已立，所作已辦，不更受有，知如真，是謂有人出已而住，住已而觀，觀已而渡，渡已至彼岸，至彼岸已，謂住岸梵志。猶人溺水，出已而住，住已而觀，觀已而渡，渡已至彼岸，至彼岸已，謂住岸人。	Being liberated, he knows he is liberated; he knows as it really is: Birth is ended, the holy life has been established, what was to be done has been done. There will not be another existence. This is what is meant by the person who, having surfaced, remains standing; having remained standing, observes; having observed, crosses over; having crossed over, reaches the farther bank; and having reached the farther bank, is called a brahmin dwelling on the [farther] bank. Like the person who, having [nearly] drowned in the water and having surfaced, remains standing; having remained standing, observes; having observed, crosses over; having crossed over, reaches the farther bank; and having reached the farther bank, is called a person standing on the [farther] bank—just so, I say, is this person [who has attained liberation].
我說彼人亦復如是，是謂第七水喻人，世間諦如有也。我向所言，當為汝說七水人者，因此故說。」	This is what is meant by the seventh person in the water parable. Such people are really to be found in the world. When I said earlier, 'I shall teach you about seven persons in the water,' it was on account of this that I said it.
佛說如是。彼諸比丘聞佛所說，歡喜奉行。	This is what the Buddha said. Having heard the Buddha’s words, the monks were delighted and remembered them well. 

木積喻經	The Discourse with the Parable of the Heap of Wood
我聞如是：一時，佛遊拘薩羅，在人間，與大比丘眾翼從而行。	Thus have I heard: At one time the Buddha, while dwelling among the people of Kosala, was traveling accompanied by a great gathering of monks.
爾時，世尊則於中路，忽見一處有大木積，洞燃俱熾，世尊見已，便下道側，更就餘樹敷尼師檀，結加趺坐。	At that time the World-honored One, while on the road, suddenly saw in a certain place a great heap of wood, all ablaze, intensely hot. On seeing it, the World-honored One went down from the side of the road, spread his sitting mat under a tree, and sat down cross-legged. Having seated himself, the World-honored One addressed the monks:
世尊坐已，告諸比丘：「汝等見彼有大木積洞燃俱熾耶？ 」時，諸比丘答曰：「見也。 世尊！」	Do you see that great heap of wood, all ablaze, intensely hot? The monks answered:We see it, World-honored One. 
世尊復告諸比丘曰：「於汝意云何？謂大木積洞燃俱熾，若抱、若坐、若臥，謂剎利女，梵志、居士、工師女，年在盛時，沐浴香薰，著明淨衣，華鬘、瓔珞嚴飾其身，若抱、若坐、若臥，何者為樂？」	The World-honored One said to the monks: What do you think? To embrace, or to sit or lie [beside] that great heap of wood, all ablaze, intensely hot; or to embrace, or to sit or lie [beside] a woman from the khattiya, brahmin, merchant, or worker [castes], a woman who is in the full bloom of youth, who has bathed and perfumed herself, has put on bright, clean clothes, is wearing garlands, and has adorned her body with jeweled necklaces—which [of these two] would be the more pleasurable?
時，諸比丘白曰：「世尊！謂大木積洞燃俱熾，若抱、若坐、若臥，甚苦。 世尊！謂剎利女，梵志、居士、工師女，年在盛時，沐浴香薰，著明淨衣，華鬘、瓔珞嚴飾其身，若抱、若坐、若臥，甚樂。 世尊！」	The monks answered: World-honored One, to embrace, or to sit or lie [beside] that great heap of wood, all ablaze, intensely hot—that would be very painful. World-honored One, to embrace, or to sit or lie [beside] a woman from the khattiya, brahmin, merchant, or worker [castes], who is in the full bloom of youth, who has bathed and perfumed herself, has put on bright clean clothes, is wearing flowers in her hair, and has adorned her body with jeweled necklaces—that, World-honored One, would be very pleasurable.
世尊告曰：「我為汝說，不令汝等學沙門失沙門道。	The World-honored One said: I tell you: while training as a renunciant, do not lose the path of the renunciant.
汝欲成無上梵行者，寧抱木積洞燃俱熾，若坐、若臥，彼雖因此受苦或死，然不以是身壞命終，趣至惡處，生地獄中；	If you wish to perfect the holy life, it would be better to embrace that great heap of wood, all ablaze, intensely hot, or to sit or lie [beside it]. Although one would, because of that, experience suffering or even death, yet, one would not, when the body breaks up and life ends, go to a bad realm and be born in hell.
若愚癡人犯戒不精進，生惡不善法，非梵行稱梵行，非沙門稱沙門；若抱剎利女，梵志、居士、工師女，年在盛時，沐浴香薰，著明淨衣，華鬘、瓔珞嚴飾其身，若坐、若臥者，彼愚癡人因是長夜不善不義，受惡法報，身壞命終，趣至惡處，生地獄中。	If an ignorant person violates the precepts and is lax, giving rise to evil and unwholesome states, not practicing the holy life though professing to practice it, not a renunciant though professing to be a renunciant, if he embraces or sits or lies [beside] a woman from the khattiya, brahmin, merchant, or worker [castes], who is in the full bloom of youth, who has bathed and perfumed herself, has put on bright clean clothes, is wearing garlands, and has adorned her body with jeweled necklaces—that ignorant person will, because of this unwholesome and unbeneficial [conduct], experience the fruits of his evil states for a long time. When the body breaks up and life ends, he will go to a bad realm of existence and be born in hell. 
是故汝等當觀自義、觀彼義、觀兩義，當作是念：『我出家學，不虛不空，有果有報，有極安樂，生諸善處而得長壽，受人信施衣被、飲食、床褥、湯藥，令諸施主得大福祐，得大果報，得大光明者。』	For this reason you should contemplate your own benefit, the benefit of others, and the benefit of both, reflecting thus: My leaving the household life to train is not in vain, not empty. It has results and fruits that are very agreeable, leading to a long life and to rebirth in good realms of existence. I accept from people, as offerings made in faith, robes, food and drink, bed and bedding, and medicine. May all those donors obtain great merit, great reward, great splendor!
當作是學。」世尊復告諸比丘曰：「於意云何？	You should train like this. The World-honored One further said to the monks: What do you think?
若有力士以緊索毛繩絞勒其𨄔斷皮，斷皮已斷肉，斷肉已斷筋，斷筋已斷骨，斷骨已至髓而住，若從剎利、梵志、居士、工師受其信施，按摩身體、支節、手足，何者為樂？」	If a strong man were to take a stout rope or a cord made of hair and pull it around one’s thighs so that it cut the skin, and having cut the skin it cut the flesh, and having cut the flesh it cut the tendons, and having cut the tendons it cut the bone, and having cut the bone it reached the marrow and remained there; or if one were to receive, as an offering made in faith by [someone from] the khattiya, brahmin, merchant, or worker [castes], a massage of one’s body, limbs, hands, and feet, which [of these two] would be the more pleasurable? 
時，諸比丘白曰：「世尊！ 若有力士以緊索毛繩絞勒其𨄔斷皮，斷皮已斷肉，斷肉已斷筋，斷筋已斷骨，斷骨已至髓而住，甚苦。	The monks answered: World-honored One, if a strong man were to take a stout rope or a cord made of hair and pull it around one’s thighs so that it cut the skin, and having cut the skin it cut the flesh, and having cut the flesh it cut the tendons, and having cut the tendons it cut the bone, and having cut the bone it reached the marrow and remained there, that would be very painful.
世尊！ 若從剎利、梵志、居士、工師受其信施，按摩身體、支節、手足，甚樂。 世尊！」	World-honored One, if one were to receive, as an offering made in faith by [someone from] the khattiya, brahmin, merchant, or worker [castes], a massage of one’s body, limbs, hands, and feet, that, World-honored One, would be very pleasurable.
世尊告曰：「我為汝說，不令汝等學沙門失沙門道。	The World-honored One said: I tell you, while training as a renunciant, do not lose the path of the renunciant.
汝欲成無上梵行者，寧令力士以緊索毛繩絞勒其𨄔斷皮，斷皮已斷肉，斷肉已斷筋，斷筋已斷骨，斷骨已至髓而住，彼雖因此受苦或死，然不以是身壞命終，趣至惡處，生地獄中；	If you wish to perfect the holy life, it would be better to have a strong man take a stout rope or a cord made of hair and pull it around one’s thighs so that it cut the skin, and having cut the skin it cut the flesh, and having cut the flesh it cut the tendons, and having cut the tendons it cut the bone, and having cut the bone it reached the marrow and remained there. Although one would, because of that, experience suffering or even death, yet one would not, when the body breaks up and life ends, go to a bad realm of existence and be born in hell.
若愚癡人犯戒不精進，生惡不善法，非梵行稱梵行，非沙門稱沙門，從剎利、梵志、居士、工師受其信施，按摩身體、支節、手足，彼愚癡人因是長夜不善不義，受惡法報，身壞命終，趣至惡處，生地獄中。	If an ignorant person violates the precepts and is lax, giving rise to evil and unwholesome states, not practicing the holy life though professing to practice it, not a renunciant though professing to be a renunciant, if he receives, as an offering made in faith by [someone from] the khattiya, brahmin, merchant, or worker [castes], a massage of his body, limbs, hands, and feet, then that ignorant person will, because of this unwholesome and unbeneficial [conduct], experience the fruits of his evil states for a long time. When the body breaks up and life ends, he will go to a bad realm of existence and be born in hell.
是故汝等當觀自義、觀彼義、觀兩義，當作是念：『我出家學，不虛不空，有果有報，有極安樂，生諸善處而得長壽，受人信施衣被、飲食、床褥、湯藥，令諸施主得大福祐，得大果報，得大光明者。』	For this reason you should contemplate your own benefit, the benefit of others, and the benefit of both, reflecting thus: My leaving the household life to train is not in vain, not empty. It has results and fruits that are very agreeable, leading to a long life and to rebirth in good realms of existence. I accept from people, as offerings made in faith, robes, food and drink, bed and bedding, and medicine. May all those donors obtain great merit, great reward, great splendor!
當作是學。」	You should train like this.
世尊復告諸比丘曰：「於意云何？	The World-honored One further said to the monks: What do you think?
若有力士以瑩磨利刀截斷其髀，若從剎利、梵志、居士、工師受信施、禮拜，恭敬將迎，何者為樂？」	If a strong man were to cut off one’s leg with a knife that had been sharpened on a whetstone; or if one were to receive, as an offering made in faith by [someone from] the khattiya, brahmin, merchant, or worker [castes], homage, respect, and greetings—which [of these two] would be the more pleasurable?
時，諸比丘白曰：「世尊！若有力士以瑩磨利刀截斷其髀，甚苦。 世尊！若從剎利、梵志、居士、工師受信施、禮拜，恭敬將迎，甚樂。 世尊！」	The monks answered: World-honored One, if a strong man were to cut off one’s leg with a knife that had been sharpened on a whetstone, that would be very painful. World-honored One, if one were to receive, as an offering made in faith by [someone from] the khattiya, brahmin, merchant, or worker [castes], homage, respect, and greetings, that, World-honored One, would be very pleasurable.
世尊告曰：「我為汝說，不令汝等學沙門失沙門道。	The World-honored One said: I tell you, do not lose the path of the renunciant while training as a renunciant.
汝欲成無上梵行者，寧令力士以瑩磨利刀截斷其髀，彼雖因此受苦或死，然不以是身壞命終，趣至惡處，生地獄中；	If you wish to perfect the holy life, it would be better to have a strong man cut off one’s leg with a knife that had been sharpened on a whetstone. Although one would, because of that, experience suffering or even death, yet one would not, when the body breaks up and life ends, go to a bad realm of existence and be born in hell.
若愚癡人犯戒不精進，生惡不善法，非梵行稱梵行，非沙門稱沙門，從剎利、梵志、居士、工師受信施、禮拜，恭敬將迎，彼愚癡人因是長夜不善不義，受惡法報，身壞命終，趣至惡處，生地獄中。	If an ignorant person violates the precepts and is lax, giving rise to evil and unwholesome states, not practicing the holy life though professing to practice it, not a renunciant though professing to be a renunciant, if he receives, as an offering made in faith by [someone from] the khattiya, brahmin, merchant, or worker [castes], homage, respect, and greetings, then that ignorant person will, because of this unwholesome and unbeneficial [conduct], experience the fruits of his evil states for a long time. When the body breaks up and life ends, he will go to a bad realm of existence and be born in hell. 
是故汝等當觀自義、觀彼義、觀兩義，當作是念：我出家學，不虛不空，有果有報，有極安樂，生諸善處而得長壽，受人信施衣被、飲食床褥、湯藥，令諸施主得大福祐，得大果報，得大光明者。	For this reason you should contemplate your own benefit, the benefit of others, and the benefit of both, reflecting thus: My leaving the household life to train is not in vain, not empty. It has results and fruits that are very agreeable, leading to a long life and to rebirth in good realms of existence. I accept from people, as offerings made in faith, robes, food and drink, bed and bedding, and medicine. May all those donors obtain great merit, great reward, great splendor!
當作是學。」	You should train like this.
世尊復告諸比丘曰：「於意云何？	The World-honored One further said to the monks: What do you think?
若有力士以鐵銅鍱洞燃俱熾，纏絡其身，若從剎利、梵志、居士、工師受信施衣服，何者為樂？」	If a strong man were to encase one’s body in iron or copper plates that were all ablaze, intensely hot; or if one were to a receive robes, as an offering made in faith by [someone from] the khattiya, brahmin, merchant, or worker [castes]—which [of these two] would be the more pleasurable?
時，諸比丘白曰：「世尊！若有力士以鐵銅鍱洞燃俱熾，纏絡其身，甚苦。 世尊！若從剎利、梵志、居士、工師受信施衣服，甚樂。 世尊！」	The monks answered: World-honored One, if a strong man were to encase one’s body in iron or copper plates that were all ablaze, intensely hot, that would be very painful. World-honored One, if one were to receive robes, as an offering made in faith by [someone from] the khattiya, brahmin, merchant, or worker [castes], that, World-honored One, would be very pleasurable.
世尊告曰：「我為汝說，不令汝等學沙門失沙門道。	The World-honored One said: I tell you, do not lose the path of the renunciant while training as a renunciant.
汝欲成無上梵行者，寧令力士以鐵銅鍱洞燃俱熾，纏絡其身，彼雖因此受苦或死，然不以是身壞命終，趣至惡處，生地獄中；	If you wish to perfect the holy life, it would be better to have a strong man encase one’s body in iron or copper plates that are all ablaze, intensely hot. Although one would, because of that, experience suffering or even death, yet one would not, when the body breaks up and life ends, go to a bad realm of existence and be born in hell.
