大般涅槃經卷第一北涼天竺三藏曇無讖譯壽命品第
一如是我聞：	Thus have I heard.
其名曰月無垢王等，各嚴四兵，欲往佛所。 是一一王，各有一百八十萬億人民眷屬。	Among these kings was Unstained Moon (Vimalacandra). Each felt the need to journey to the Buddha's location, bolstered by four military divisions, resulting in each king arriving with one hundred and eighty trillion people in their entourage.
是諸車兵，駕以象馬，象有六牙，馬疾如風，莊嚴供具六倍於前。	The soldiers rode in chariots drawn by elephants and horses, the elephants had six tusks and the horses were as fast as the wind. Their offerings were beautiful and were six times the amount of what been brought previously.
寶蓋之中有極小者，周匝縱廣滿八由旬，幡極短者十六由旬，寶幢卑者三十六由旬。	The smallest of their jeweled umbrellas was fully eight yojanas across, the shortest of their banderoles was sixteen yojanas long, and the poorest specimen of their ornamented banners still reached thirty-six yojanas in length. These kings resided comfortably within the true-dhamma, reviling [other] dhammas that are base and corrupt.
是諸王等，皆悉安住於正法中，惡賤邪法，敬重大乘，深樂大乘，憐愍眾生，等如一子，所持飲食，香氣流布滿四由旬。	They revered the Mahayana; they cherished the Mahayana. They felt sympathy toward living beings, regarding them like their own children. The fragrance wafting from the food and drink they carried filled the air for four yojanas.
亦於晨朝日初出時，持是種種上妙甘饍，詣雙樹間，至如來所，而白佛言：「世尊！	As the sun began to rise in the early morning, they too brought their assortment of culinary creations to that place between the two trees, where they found the Tathagata and addressed him, saying:
我等為佛及比丘僧設是供具，唯願如來，哀愍受我最後供養。」	World-Honored One, we have provided these offerings for the Buddha and the sangha. All we ask, Tathagata, is that you take pity on us and accept our last offerings.
如來知時，亦不許可。	But the Tathagata, well aware of the situation, once again did not give his permission.
是諸王等，不果所願，心懷愁惱，却住一面。	Their wishes unfulfilled, the kings felt disheartened and withdrew to one side, where they remained.
爾時復有七恒河沙諸王夫人，唯除阿闍世王夫人，為度眾生，現受女身。	At that time all the imperial consorts, excluding only the consorts of King Ajatasatru, also came together and their numbers equaled the grains of sand in seven Ganges Rivers.
常觀身行，以空、無相、無願之法，薰修其心。	They had taken female forms for the purpose of ferrying living beings to the other shore, and were ever mindful of their behavior, having purified their minds by practicing the teachings on emptiness, signlessness, and wishlessness.
其名曰：三界妙夫人、愛德夫人。	Among them were the [well-known] consorts Beautiful Woman of the Triple World and Beloved Virtue, but all these imperial women abided comfortably within the true-dharma. They practiced the precepts that endowed them with a bearing most dignified.
如是等諸王夫人，皆悉安住於正法中，修行禁戒，威儀具足，憐愍眾生，等如一子，各相謂言：「今宜速往，詣世尊所。」	Filled with compassion for living beings as if each was their only child, they said to each other, Let us now make haste and pilgrimage to where the Buddha resides. The offerings prepared by these royal consorts totaled seven times what had been brought previously.
諸王夫人，所設供養，七倍於前，香花、寶幢、繒綵、幡蓋、上妙飲食，寶蓋小者周匝縱廣十六由旬，幡最短者三十六由旬，寶幢卑者六十八由旬，飲食香氣，周遍流布滿八由旬。	They included fragrant flowers, ornamented banners, colored silk brocades, banderoles, umbrellas, and a superb assortment of food and drink. Among their jeweled umbrellas, the smallest reached sixteen yojanas across; the shortest of their banderoles measured thirty-six yojanas; and the most mediocre of their ornamented banners was sixty-eight yojanas in length. The fragrance from their food and drink filled the air for eight yojanas.
持如是等供養之具，往如來所，稽首佛足，遶百千匝，而白佛言：	Carrying these offerings, they went to the Tathagata and after making their obeisances at his feet, circumambulated him one hundred thousand times before addressing the Buddha, saying:
「世尊！我等為佛及比丘僧設是供具，唯願如來，哀愍受我最後供養。」	World-Honored One, we have provided these offerings for the Buddha and the sangha. All we ask, Tathagata, is that you take pity on us and accept these, our last offerings.
如來知時，默然不受。	But the Tathagata, well aware of the occasion, was silent and did not accept their gifts.
時諸夫人，不果所願，心懷愁惱，自拔頭髮，搥胸大哭，猶如新喪所愛之子，却在一面，默然而住。	Their wishes unfulfilled, the consorts then felt distraught, pulling out their hair, pounding their chests, and screaming like someone who had just lost a beloved child. Eventually they withdrew to one side and remained there in silence.
爾時復有八恒河沙諸天女等，其名曰廣目天女而為上首，作如是言：	At that time female deities also appeared, their numbers equaling the grains of sand in eight Ganges Rivers. Their leader was the goddess Wide Eyes (Virapaksa). She said the following:
「汝等諸姊！諦觀，諦觀，是諸人眾，所設種種上妙供具，欲供如來及比丘僧。	Sisters! Look carefully, look carefully. All these wonderful offerings have been provided by these people who hope to serve the Tathagata and the sangha.
我等亦當如是，嚴設微妙供具，供養如來，如來受已，當入涅槃。 諸姊！	We, too, should decorously provide marvelous things as offerings to the Tathagata. After the Tathagata accepts them, he will enter into nirvana.
諸佛如來，出世甚難，最後供養亦復倍難；	Sisters, it is extremely rare for these buddha tathagatas to appear in the world. This final offering should be twice as unusual as any other.
若佛涅槃，世間空虛。」	When the Buddha passes into nirvana, the world will be hollow.
是諸天女，愛樂大乘，欲聞大乘，聞已亦能為人廣說。	All these female deities cherished the Mahayana and thus looked forward to hearing more about it. Whenever they had an opportunity to listen to Mahayana teachings, they would then tum around and explain them to others. They were intoxicated with the Mahayana, and as they satisfied their own thirst they also satisfied the thirst of others.
渴仰大乘既自充足，復能充足餘渴仰者，守護大乘，若有異學，憎嫉大乘，勢能摧滅，如雹摧草。	They were unwaveringly devoted to the Mahayana-whenever they encountered followers of other teachings who felt jealousy and resentment toward the Mahayana, these deities vigorously crushed them, just as hail knocks down grass. They maintained the precepts and were thus endowed with dignified bearing.
護持戒行，威儀具足，善能隨順一切世間，度未度者，脫未脫者，於未來世當轉法輪、紹三寶種，使不斷絕，修學大乘，以大莊嚴而自莊嚴，成就如是無量功德，等慈眾生，如視一子。	In skillfully adapting to the ways of all worlds, they ferried over to the other shore those who had not yet reached it, and liberated those not yet liberated. In the future they will tum the wheel of the dharma, binding together the Three Jewels to prevent their dissolution. Studying the Mahayana, they will enhance it themselves with great adornments, in this way achieving immeasurable merit, and regarding all living beings with equal compassion, viewing each as if he or she was her only child.
亦於晨朝日初出時，各取種種天木香等，倍於人間所有香木，其木香氣，能滅人中種種臭穢。	As the sun began to rise in the early morning, the female deities brought an assortment of fragrant wood, incense, and the like in a quantity double [that brought by] the human pilgrims. The perfume from their wood was capable of eliminating a variety of the foul smells found among humans.
白車白蓋，駕四白馬，一一車上，皆張白帳，其帳四邊懸諸金鈴、種種香花、寶幢幡蓋，上妙甘饍，種種伎樂，敷師子座，其座四足純紺琉璃，於其座後，各各皆有七寶倚床，一一座前，復有金机，復以七寶而為燈樹，種種寶珠以為燈明，微妙天花遍布其地。	These deities rode on white chariots topped with white canopies and drawn by teams of four white horses. From the top of each chariot hung white curtains that stretched around the vehicle, and on all four sides hung gold bells. The chariots were also filled with various fragrant flowers, fancy banners, banderoles, umbrellas, superbly prepared foods, and theatrical performances. Each had set up a lion's seat [for the Tathagata], the four feet of which were made of the pure blue vaidurya gem. Behind each seat was a backrest decorated with seven jewels, and in front of each seat was a golden armrest. These seven jewels looked like a forest of lights in which the different precious stones all shone like lanterns.
是諸天女設是供已，心懷哀感，涕淚交流，生大苦惱。	Marvelous heavenly flowers covered the ground where the female deities laid out their offerings. When they were finished they felt overwhelmed with sadness; their tears flowed and flowed, producing great c discomfort among them.
亦為利益、安樂眾生，成就大乘第一空行，顯發如來方便密教，亦為不斷種種說法，往詣佛所，稽首佛足，遶百千匝，而白佛言：	In order to bring blessings and peace of mind to living beings, to accomplish the primary Mahayana practice of emptiness, to reveal the hidden teaching that is the Tathagata's skillful means, to prevent the extinction of his sermons, they approached the location of the Buddha, made obeisance at his feet, and circumambulated him one hundred thousand times before addressing him, saying:
「世尊！唯願如來，哀受我等最後供養。 」如來知時，默然不受。	 World-Honored One. All we ask, Tathagata, is that you take pity on us and accept these, our last offerings. But the Tathagata understood the situation and remained silent without accepting their gifts.
諸天女等，不果所願，心懷憂惱。	Their wishes unfulfilled, all the female deities felt agitated and distressed.
却在一面，默然而坐。	They withdrew to one side and there they sat in silence.
爾時復有九恒河沙諸龍王等，住於四方，其名曰：和修吉龍王、難陀龍王、婆難陀龍王而為上首。	At that time all the nagaraja dragon kings residing in the four directions came together, totaling a number equal to the grains of sand in nine Ganges Rivers. Their leaders were known as the dragon kings Yasuki, Nanda, and Upananda.
是諸龍王，亦於晨朝日初出時，設諸供具，倍於人天，持至佛所，稽首佛足，遶百千匝，而白佛言：「唯願如來，哀受我等最後供養。 」如來知時，默然不受。	As the sun began to rise in the early morning, these dragon kings prepared their own offerings, doubling the amount of those previously brought by humans and gods. Carrying them to the Buddha's presence, they made obeisance at his feet and circumambulated him one hundred thousand times before addressing him: All we ask, Tathagata, is that you take pity on us and accept these, our last offerings. The Tathagata, however, knowing the occasion, remained silent and did not accept their gifts.
是諸龍王，不果所願，心懷愁惱，却坐一面。	Their wishes unfulfilled, the dragon kings felt dejected, withdrew, and took their seats off to one side.
爾時復有十恒河沙諸鬼神王，毘沙門王而為上首，各相謂言：「仁等，今者可速詣佛所。」	At that time all the yak.ya demigod kings led by King Yaisravaf,la gathered in numbers equal to the grains of sand in ten Ganges Rivers.
設供具倍於諸龍，持往佛所，稽首佛足，遶百千匝，而白佛言：「唯願如來，哀受我等最後供養。」	They said to each other, Let us hurry to where the Buddha is! And preparing double the offerings brought by the dragon kings, they then carried these to the Buddha's presence. Making obeisance at his feet, they circumambulated him one hundred thousand times before addressing the Buddha: All we ask, Tathagata, is that you take pity on us and accept these, our last offerings. The Tathagata, however, understood the situation and remained silent without giving his permission.
如來知時，默然不許。 是諸鬼王，不果所願，心懷愁惱，却坐一面。	Their wishes unfulfilled, the demigod kings felt disheartened, withdrew, and took their seats off to one side.
爾時復有二十恒河沙金翅鳥王，降怨鳥王而為上首。	At that time there were also garuda bird kings totaling a number equal to the grains of sand in twenty Ganges Rivers; they were led by the bird king.
復有三十恒河沙乾闥婆王，那羅達王而為上首。	There were also gandharva celestial musician kings totaling a number equal to the grains of sand in thirty Ganges Rivers, led by King Narada.
復有四十恒河沙緊那羅王，善見王而為上首。	There were also kimnara celestial chorister kings as numerous as the grains of sand in forty Ganges Rivers, led by King Sudarsana.
復有五十恒河沙摩睺羅伽王，大善見王而為上首。	There were mahoraga serpent kings as numerous as the sands of fifty Ganges Rivers, led by King Mahasudarsana.
復有六十恒河沙阿修羅王，睒婆利王而為上首。	There were asura titan kings as numerous as the sands of sixty Ganges Rivers, led by King.
復有七十恒河沙陀那婆王，無垢河水王、跋提達多王等而為上首。	There were danava demon kings as numerous as the sands of seventy Ganges Rivers, led by King Gangavimalodaka and King Bhadradatta.
復有八十恒河沙羅剎王，可畏王而為上首，捨離惡心，更不食人，於怨憎中生慈悲心，其形醜陋，以佛神力皆悉端正。	There were also raksasa demon kings as numerous as the sands of eighty Ganges Rivers, led by King Terrifying One (Bhima). Having abandoned their evil mentality and no longer devouring people, these demons produced thoughts of compassion within their menacing nature. Although they had been ugly in appearance, through the Buddha's supernatural powers they a had all became handsome.
復有九十恒河沙樹林神王，樂香王而為上首。 復有千恒河沙持呪王，大幻持呪王而為上首。	There were also tree-spirit kings as numerous as the sands of ninety Ganges Rivers, led by King Fond of Fragrance (Gandhapriya), as well as spell-casting kings as numerous as a thousand Ganges Rivers who were led by King Mahamaya Yidyadhara.
復有一億恒河沙貪色鬼魅，善見王而為上首。	There were also form-craving sprites as numerous as the sands of one hundred million Ganges Rivers, led by their king Sudarsana.
復有百億恒河沙天諸娙女，藍婆女、欝婆尸女、帝路沾女、毘舍佉女而為上首。	There were also apsara sky nymphs as numerous as the sands of ten billion Ganges Rivers, led by Rambha, Urvasi, Tirna, and Visakha.
復有千億恒河沙地諸鬼王，白濕王而為上首。	There were also bhuma spirit kings from the earth as numerous as the sands of one hundred billion Ganges Rivers, led by King White Moisture (Suklardra).
復有十萬億恒河沙等諸天子及諸天王、四天王等。	There were also lokapala worldly kings, heavenly kings, and heavenly guardians of the four directions who were as numerous as the sands of ten trillion Ganges Rivers.
復有十萬億恒河沙等四方風神，吹諸樹上時非時花散雙樹間。	And there were wind deities of the four directions who were also as numerous as the sands of ten trillion Ganges Rivers. They blew seasonal and unseasonal flowers over the tops of the trees, scattering them throughout the grove of trees [where the Buddha was].
復有十萬億恒河沙主雲雨神，皆作是念：「如來涅槃焚身之時，我當注雨，令火時滅，眾中熱悶為作清涼。」	There were also deities who ruled the clouds and the rain as numerous as the sands of ten trillion Ganges Rivers. They were all thinking: When, upon his nirvana the Tathagata's body is set alight for cremation, we shall pour rain from the sky and cause that fire to be extinguished. In this way those in the crowd that are burning with agony shall be refreshed.
復有二十恒河沙大香象王，羅睺象王、金色象王、甘味象王、紺眼象王，欲香象王等而為上首，敬重大乘，愛樂大乘，知佛不久當般涅槃，各各拔取無量無邊諸妙蓮花，來至佛所，頭面禮佛，却住一面。	 In addition, there were great fragrant elephant kings as numerous as the sands in twenty Ganges Rivers. They were led by the elephant kings Rahu, Suvarna, Madhu, Abhinilanetra, and Ghandamadana. They revered and longed for the Mahayana. Understanding that it would not be long before the Buddha passed into nirvana, they each gathered superb lotus flowers in innumerable, endless quantities and journeyed to where the Buddha sat.
復有二十恒河沙等師子獸王，師子吼王而為上首。	Bowing their heads in respect, they then withdrew to one side. There were also lions, king of beasts, whose numbers equaled the grains of sand in twenty Ganges Rivers, led by King Simhanada.
施與一切眾生無畏，持諸花菓，來至佛所，稽首佛足，却住一面。	The lion kings bestowed fearlessness upon all living beings, and bringing a variety of flowers and fruits to the Buddha, they bowed down at his feet and repaired to one side.
復有二十恒河沙等諸飛鳥王，鳧鴈、鴛鴦、孔雀諸鳥，乾闥婆鳥、迦蘭陀鳥、鴝鵒鸚鵡、俱翅羅鳥、婆嘻伽鳥、迦陵頻伽鳥、耆婆耆婆鳥，如是等諸鳥，持諸花菓，來至佛所，稽首佛足，却住一面。	There was also a variety of flying bird kings as numerous as the sands of twenty Ganges Rivers. Their group included wild ducks, wild geese, mandarin ducks, peacocks, kadamba dark grey geese, karandava ducks, mynah birds, parrots, black cuckoos, bahika herons, kalavinka weavers, and jivamjivaka pheasants. All these various birds brought flowers and fruit to the Buddha. After making obeisance at his feet, they repaired to one side.
復有二十恒河沙等水牛牛羊，往至佛所，出妙香乳，其乳流滿拘尸那城所有溝坑，色香美味悉皆具足，成是事已，却住一面。	There were also water buffalo, cows, and goats as numerous as the sands of twenty Ganges Rivers. They walked to where the Buddha was and then produced wonderfully fragrant milk in such quantity that it filled the canals in the town of Kusinagara. The color, smell, and flavor of this milk were all ideal. After completing their task they then withdrew and took their places off to one side. 
復有二十恒河沙等四天下中諸神仙人，忍辱仙等而為上首，持諸香花及諸甘果，來詣佛所，稽首佛足，遶佛三匝，而白佛言：「唯願世尊，哀受我等最後供養。」如來知時默然不許。	In addition, the seers who inhabited the four continents surrounding Mount Sumeru were also present, their numbers as numerous as the sands of twenty Ganges Rivers. Their leader was Ksantivadin. They brought incense, flowers, and sweet fruit on their pilgrimage to where the Buddha resided. Making obeisance at the Buddha's feet, they circumambulated him three times before addressing him: All we ask, Tathagata, is that you take pity on us and accept these, our last offerings. The Tathagata, however, understood the situation and remained silent without giving his permission.
時諸仙人，不果所願。 心懷愁惱，却住一面。	Thereupon the seers, their wishes unfulfilled, felt disheartened, withdrew, and found a place off to one side.
閻浮提中一切蜂王，妙音蜂王而為上首，持種種花來詣佛所，稽首佛足，遶佛一匝，却住一面。	In Jambudvipa the bee kings were led by King Fine Sound. Bringing a variety of flowers, they made a pilgrimage to the Buddha's location. Making obeisance at the Buddha's feet, they withdrew to take their places off to one side.
爾時閻浮提中比丘、比丘尼一切皆集，唯除尊者摩訶迦葉、阿難二眾。	At that time all the monks and nuns of Jambudvipa were assembled, with the exception of the two groups of followers traveling with Venerable Mahakasyapa and Venerable Ananda.
復有無量阿僧祇恒河沙等世界中間，及閻浮提所有諸山，須彌山王而為上首，其山莊嚴，叢林蓊欝，諸樹茂盛，枝條扶踈，蔭蔽日光，種種妙花周遍而有，龍泉流水清淨香潔。	 Also present were mountains as numerous as the sands of immeasurable asamkhyeya Ganges Rivers contained in the world including Jambudvipa. With Mount Sumeru the most prominent among them, these mountains were adorned with forests in luxuriant growth. Their trees were so numerous and the branches so plentiful that they obscured the sunlight. A wide variety of exquisite flowers could be found in every direction, and the water flowing in their springs and rivers was pure, fragrant, and clear.
諸天、龍、神、乾闥婆、阿修羅、迦樓羅、緊那羅、摩睺羅伽，神仙呪術，作倡伎樂，如是等眾，彌滿其中。	The mountains were filled with deities (devas), dragons (nagas), demigods (yaksas), celestial musicians (gandharvas), titans (asuras), birds (garudas), celestial choristers (kimnaras), great serpents (mahoragas), saints (rsis), spell-casters (vidyadharas), and sky nymphs (apsarases).
是諸山神，亦來詣佛，稽首佛足，却住一面。	All these spiritual beings of the mountains likewise made a pilgrimage to see the Buddha. Making. obeisance at the Buddha's feet, they then withdrew to take their places off to one side.
復有阿僧祇恒河沙等四大海神及諸河神，有大威德，具大神足，所設供養，倍勝於前。	There were also deities from the four oceans, as well as deities residing in rivers who together were as numerous as the sands of innumerable Ganges Rivers. They possessed great supernatural power that comes from great spiritual power. The offerings they prepared were twice anything that had been brought up to that point.
諸神身光伎樂燈明，悉蔽日月令不復現。	The light emanating from their divine bodies shone [like] stage lighting, so brightly that it obstructed the sun and moon, making those heavenly bodies disappear.
以占婆花散熙連河，來至佛所，稽首佛足，却住一面。	They scattered asoka flowers over the Hiranyavati River and then came to the location of the Buddha, where they made obeisance at his feet and removed themselves to one side.
爾時拘尸那城娑羅樹林，其林變白，猶如白鶴。	At that time the grove of sal trees in Kusinagara turned white, appearing like a flock of white cranes.
於虛空中，自然而有七寶堂閣，彫文刻鏤，綺飾分明。	In the sky there suddenly appeared a hall made with seven jewels, carvings, engravings, and figured silk decorations, all of which could be clearly seen.
周匝欄楯，眾寶雜廁，堂下多有流泉浴池，上妙蓮花彌滿其中，猶如北方欝單越國，亦如忉利歡喜之園。	A parapet containing an assortment of jewels surrounded the hall, and below it water flowed from a number of springs into a bathing pool, the top of which was filled with magnificent lotus flowers. It looked like something from Uttarakuru, that land to the north, or like Indra's pleasure garden Nandanavana in the Trayastrirpsa Heaven.
爾時娑羅樹林中間，種種莊嚴，甚可愛樂，亦復如是。	Now at that time, the sal grove had been decorated in a number of ways and it struck those who looked upon it as quite lovely.
是諸天、人、阿修羅等，咸覩如來涅槃之相，皆悉悲感，愁憂不樂。	The gods and asuras [there] could all see the signs of the Tathagata's imminent nirvana and, without exception, each felt sad, forlorn, and unhappy.
爾時四天王釋提桓因，各相謂言：「汝等觀察，諸天、世人及阿修羅，大設供養，欲於最後供養如來。	At that time the guardian deities of the four directions and Sakra, lord of the gods (Sakra Devanam Indra), said to each other: See how both heavenly and worldly beings and even asuras have made such great preparations, hoping to present their final offerings to the Tathagata.
我等亦當如是供養，若我最後得供養者，檀波羅蜜則為成就滿足不難。」	We should also make an appropriate offering. If we can manage this final offering, the perfection of charity will become completely accomplished without difficulty.
爾時四天王所設供養，倍勝於前，持曼陀羅花、摩訶曼陀羅花、迦枳樓伽花、摩訶迦枳樓伽花、曼殊沙花、摩訶曼殊沙花、散多尼迦花、摩訶散多尼迦花、愛樂花、大愛樂花、普賢花、大普賢花、時花、大時花、香城花、大香城花、歡喜花、大歡喜花、發欲花、大發欲花、香醉花、大香醉花、普香花、大普香花、天金葉花、龍華、波利質多樹花、拘毘羅樹花，復持種種上妙甘饍，來至佛所，稽首佛足。	So the guardian deities of the four directions then prepared offerings that were twice what had been presented previously. They brought mandarava flowers, mahamandarava flowers, kakkolaka flowers, mahakakkolaka flowers, manjusaka flowers, mahamanjusaka flowers, samtanaka flowers, mahasamtanaka flowers, senna (manojna) flowers, grand senna flowers, universal brilliance (samantaprabha) flowers, grand universal brilliance flowers, clove (lavamga) flowers, grand clove flowers, fragrant city flowers, grand fragrant city flowers, flowers of joy (sumana), grand flowers of joy, desire-arousing lilies (saugandhika), grand desire-arousing lilies, intoxicated-with-fragrance (gandhamadana) flowers, grand intoxicated-with-fragrance flowers, universal fragrance (samantagandha) flowers, grand universal fragrance flowers, divine gold leaf (divyasuvarnapattra) flowers, dragon flowers, flowers from parijata trees, and flowers from kovidara trees. They also brought a variety of superbly prepared foods, and when they reached the Buddha they first made obeisance at his feet.
是諸天人所有光明，能覆日月，令不復現。	The illumination of all these heavenly beings was so bright that the sun and moon became invisible in the sky.
以是供具，欲供養佛。	Holding what they had brought, they then endeavored to be allowed to present their offerings to the Buddha.
如來知時，默然不受。	But the Tathagata, understanding the occasion, remained silent, thereby not accepting their gifts.
爾時諸天，不果所願，愁憂苦惱，却住一面。	Their wishes unfulfilled, these gods then felt disheartened and distressed, and withdrew to take their places off to one side.
爾時釋提桓因及三十三天，設諸供具亦倍勝前，及所持花亦復如是，香氣微妙甚可愛樂，持得勝堂并諸小堂，來至佛所，稽首佛足，而白佛言：	At that time Sakra and the other gods from the Trayastrilsa Heaven prepared offerings twice what had been brought previously and the flowers they brought were also of that scale. They had wondrous and extremely appealing perfumes and incense. Carrying Sakra's Vaijayanta palacel and a host of smaller halls, when they arrived where the Buddha was residing, they first bowed down at his feet to make their salutations and then addressed him, saying:
「世尊，我等深樂、愛護大乘，唯願如來哀受我食。」如來知時，默然不受。	 World-Honored One, we deeply appreciate the Mahayana and affectionately defend it. All we ask is that the Tathagata take pity on us and accept our food. But the Tathagata, understanding the occasion, remained silent and thereby did not accept their gifts.
時諸釋天，不果所願，心懷愁惱，却住一面。	Then Indra and the other gods, unable to realize their wish, felt disheartened. They withdrew to wait off to one side.
乃至第六天，所設供養展轉勝前，寶幢幡蓋。	All the way up to the sixth meditative heaven, the gods in the realm of desire (kamadhatu) prepared offerings, each in turn surpassing what had appeared before.
寶蓋小者覆四天下，幡最短者周圍四海，幢最卑者至自在天，微風吹幡，出妙音聲。	These decorated banners, banderoles, and umbrellas were so large that even the smallest jeweled umbrella covered the four continents of the earth, the shortest banderole stretched across four oceans, and the most inferior banner reached up to the heaven of Mahesvara. Whenever even a slight breeze blew against the banderoles, they produced a sound that was sublime.
持上甘饍，來詣佛所，稽首佛足，白佛言：「世尊，唯願如來哀受我等最後供養。」	Carrying the sweetest dishes of food, they journeyed to where the Buddha was and, ceremoniously bowing at his feet, addressed him in this way: World-Honored One, all we ask is that the Tathagata take pity on us and accept these, our final offerings. 
如來知時默然不受。	But the Tathagata, understanding the occasion, remained silent and did not accept.
是諸天等，不果所願，心懷愁惱，却住一面。	Realizing that their wishes would not be fulfilled, these gods felt disheartened and withdrew to wait off to one side.
上至有頂，其餘梵眾，一切來集。	Above the world of sense pleasure, all those residing in the Brahmli world at the peak of material existence in the realm of form only (rnpadhatu) I S also gathered together.
爾時大梵天王及餘梵眾，放身光明，遍四天下。	At that time a Mahlibrahmli king and his retinue ofBrahmli deities emitted a light that permeated the four continents.
欲界、人、天，日月光明，悉不復現。	It was so bright that it rendered the light given off by the sun and moon, and the people and gods of the realm of desire invisible.
持諸寶幢、繒綵、幡蓋，幡極短者懸於梵宮至娑羅樹間，來詣佛所，稽首佛足，白佛言：「世尊！	These gods also brought decorated banners, colored silk brocades, banderoles, and umbrellas. The absolutely shortest banderole extended from the Brahmli's palace all the way to this space within the sal forest. They made a pilgrimage to the Buddha's location, made their obeisance, and then addressed him, saying:
唯願如來，哀受我等最後供養。 」如來知時，默然不受。	World-Honored One, all we ask is a that the Tathagata take pity on us and accept these, our final offerings. But the Tathagata, understanding the occasion, remained silent and did not accept their gifts.
爾時諸梵不果所願，心懷愁惱，却住一面。	Their wishes unfulfilled, these Brahma gods then felt disheartened, and withdrew to take their places off to one side.
爾時毘摩質多阿修羅王，與無量阿修羅大眷屬俱，身諸光明，勝於梵天，持諸寶幢、繒綵、幡蓋，其蓋小者覆千世界，上妙甘饍，來詣佛所，稽首佛足，而白佛言：	At that time Vemacitra, king of the asuras, together with innumerable other asuras and a large retinue, [were also present]. The light that shone from their bodies surpassed even that of the gods in the Brahma Heaven. They also brought decorated banners, colored silk brocades, banderoles, and umbrellas. Even the smallest of their umbrellas could cover a thousand worlds. With the most sublime of sweet dishes, they made a pilgrimage to where Buddha was and, bowing at his feet, spoke these words:
「唯願如來，哀受我等最後供養。」如來知時，默然不受。	All we ask is that the Tathagata take pity on us and accept these, our final offerings. But the Tathagata, understanding the occasion, remained silent and did not accept.
諸阿修羅，不果所願，心懷愁惱，却住一面。	Their wishes unfulfilled, the asuras felt disheartened, withdrew, and remained off to one side.
爾時欲界魔王波旬與其眷屬、諸天婇女，無量無邊阿僧祇眾，開地獄門，施清冷水，因而告曰：	At that time king Mara Papiyas of the realm of desire, together with the innumerable, endless asamkhyeya hordes of beings belonging to his retinue, including gods and their female attendants, opened the gates of the hells and dispensed pure, cold water to those inhabitants. As a consequence of this, he then announced to them:
「汝等今者，無所能為，唯當專念如來、應、正遍知，建立最後隨喜供養，當令汝等長夜獲安。」	You feel you are unable to do anything [about your situation]. But if you will, just concentrate on the Tathagata, the One Worthy of Oblations, the Perfectly Enlightened One, and set forth your final offerings to express your joy in his virtuous accomplishments. This will bring you peace through the long night [that you must endure].
時魔波旬於地獄中，悉除刀劍無量苦毒，熾然炎火注雨滅之。	While in the hells, Mara Papiyas removed the instruments of torture and the many painful poisons; on the fiery flames he poured rainwater, extinguishing them.
以佛神力，復發是心，令諸眷屬，皆捨刀劍、弓弩、鎧仗、鉾槊、長鉤、金鎚、鉞斧、鬪輪、羂索，所持供養，倍勝一切人天所設，其蓋小者覆中千界，來至佛所，稽首佛足，而白佛言：「我等今者，愛樂大乘，守護大乘。	Then, by means of the Buddha's supernatural powers, he found himself thinking: I will make everyone in my retinue throw down their knives and swords, longbows and crossbows, armor and other hardware, halberds and lances, crescent bladed halberds, metallic bludgeons, broadaxes and hatchets, combat rings, and lasso ropes. The offerings brought by his group exceeded by twofold everything previously presented by humans and gods. Even the smallest of the umbrellas covered a thousand worlds. When they arrived at the Buddha's location, they bowed at his feet and said: We now long for the Mahayana, and are unwaveringly devoted to the Mahayana.
世尊！若有善男子善女人，為供養故、為怖畏故、為誑他故、為財利故、為隨他故受是大乘，或真或偽，我等爾時當為是人，除滅怖畏，說如是呪：「『啅抧　吒吒羅啅抧　盧呵隷　摩訶盧呵隷　阿羅　遮羅　多羅　莎呵』「是呪能令諸失心者、怖畏者、說法者、不斷正法者，為伏外道故、護己身故、護正法故、護大乘故，說如是呪。	World-Honored One, there may be good men or good women who accept the Mahayana because they seek to provide offerings, or because they are afraid, or because they intend to deceive others, or because of the prospect of financial gain, or because they are merely following others, and so they may regard it as true or as false. When this occurs, in order to eliminate the fears of such people, we teach them the following mantra: tarki ta!!ara tarki lohare mahalohare ara cara tara svaha Now for those who have lost their good intentions, for those tormented by fear, for those preaching the dharma (dharma-kathika), or for those preventing the dissolution of the true-dharma, this mantra is effective in overcoming rivals in heretical schools, in protecting oneself, in protecting the true-dharma, and in protecting the Mahayana.
若有能持如是呪者，無惡象怖，若至曠野、空澤、嶮處不生怖畏，亦無水火、師子虎狼、盜賊王難。	Anyone who uses the mantra properly will have no fear of mad elephants. Whenever they find themselves in a broad open field, or an endless swamp, or a place with precipitous slopes, with this spell they will feel no fear. And water, fire, lions, tigers, wolves, thieves, and troubles with kingsWorld-Honored One, if one can hold onto this mantra that person will be able to elminate completely any fear associated with these things.
世尊！若有能持如是呪者，悉能除滅如是等怖。 世尊！ 持是呪者，我當護之，如龜藏六。	World-Honored One, whosoever holds on to this mantra we will protect just as a tortoise guards his six extremities.
世尊！我等今者，不以諭諂說如是事，持是呪者，我當至誠，益其勢力。	World-Honored One, we do not speak of this to curry favor. We will faithfully increase the power of anyone who sustains this mantra.
唯願如來，哀受我等最後供養。」	All we ask, Tathagata, is that you take pity and accept these, our last offerings.
